Date,Open,High,Low,Close,% change,Volume,TurnOver
2024-07-31,700.00,756.90,700.00,745.90,7.28,1143711.00,844994317.90
2024-07-30,658.00,703.00,650.30,695.30,5.67,877464.00,601008730.30
2024-07-29,675.00,680.00,658.00,658.00,-1.79,387185.00,258434296.20
2024-07-28,670.00,680.00,655.00,670.00,1.99,484001.00,322591814.80
2024-07-25,665.00,667.10,653.00,656.90,-1.04,313744.00,206890963.60
2024-07-24,675.00,684.90,656.00,663.80,-1.95,541134.00,360746452.30
2024-07-23,667.00,678.00,658.00,677.00,2.39,341515.00,230264677.50
2024-07-22,638.00,669.00,633.00,661.20,3.64,565705.00,369348741.00
2024-07-21,610.00,641.00,605.00,638.00,4.59,488016.00,306742782.60
2024-07-18,615.00,626.00,603.00,610.00,0.33,325046.00,200141486.80
2024-07-17,600.00,611.00,592.00,608.00,3.05,248855.00,150493118.40
2024-07-16,575.00,592.00,575.00,590.00,1.72,180459.00,106117450.60
2024-07-15,599.00,599.00,580.00,580.00,-1.53,225401.00,132019589.70
2024-07-14,589.40,611.00,580.00,589.00,1.92,256783.00,151485419.00
2024-07-11,569.00,579.90,558.00,577.90,1.40,222756.00,127972395.70
2024-07-10,576.00,576.00,563.00,569.90,0.90,145963.00,83073613.00
2024-07-09,555.10,569.00,555.10,564.80,0.50,97749.00,55087436.50
2024-07-08,565.00,570.00,559.00,562.00,-0.53,160402.00,90418318.30
2024-07-07,555.00,569.00,547.30,565.00,3.23,276279.00,155001243.40
2024-07-04,545.00,553.00,542.00,547.30,1.15,147882.00,80879307.90
2024-07-03,552.00,555.00,540.00,541.10,-1.97,127474.00,69290233.40
2024-07-02,548.70,575.00,544.00,552.00,2.60,190209.00,105259051.30
2024-07-01,550.40,550.40,533.00,538.00,-0.31,107247.00,57662759.10
2024-06-30,553.00,554.90,539.70,539.70,-2.41,82472.00,44940127.40
2024-06-27,524.80,561.00,512.00,553.00,3.27,402499.00,214140882.30
2024-06-26,545.00,550.00,535.00,535.50,-1.38,57043.00,30729284.00
2024-06-25,540.00,550.00,540.00,543.00,0.56,51087.00,27814037.60
2024-06-24,536.10,559.00,526.00,540.00,-1.28,131314.00,71441612.70
